domain,oldCategory,oldSubCategory,reason,reasonCode,appPresence,monthlyVisits,monthlyVisitsFormatted,trafficBand,techCount,region
jamshedpur.nic.in,Government & Public Sector,Municipal & Local,Government/Academic/Non-Profit domain (jamshedpur.nic.in),domain_tld,No App,50223,50.2K,50K-200K,,India
gmvnonline.com,Government & Public Sector,Municipal & Local,Non-D2C category: Government & Public Sector,non_d2c_category,No App,50223,50.2K,50K-200K,,India
travelogyindia.com,Government & Public Sector,Central Government,Non-D2C category: Government & Public Sector,non_d2c_category,No App,50205,50.2K,50K-200K,,India
onmobile.com,News & Media,General,Tech stack indicates B2B platform (no ecommerce; multiple B2B tools),b2b_tech_stack,No App,50204,50.2K,50K-200K,32,Global
dgciskol.gov.in,Government & Public Sector,Central Government,Government/Academic/Non-Profit domain (dgciskol.gov.in),domain_tld,No App,50175,50.2K,50K-200K,,India
giordanotimewear.com,Web Hosting & Domains,CDN & Performance,Non-D2C category: Web Hosting & Domains,non_d2c_category,No App,50118,50.1K,50K-200K,,India
rrbmuniv.ac.in,Schools & Universities,University,Government/Academic/Non-Profit domain (rrbmuniv.ac.in),domain_tld,No App,50060,50.1K,50K-200K,,India
mbwa.org.in,EdTech,General,Government/Academic/Non-Profit domain (mbwa.org.in),domain_tld,No App,50039,50K,50K-200K,,India
cca.gov.in,Electronics & Tech,Gaming,Government/Academic/Non-Profit domain (cca.gov.in),domain_tld,No App,49973,50K,<50K,,India
rajsmsa.nic.in,Government & Public Sector,Municipal & Local,Government/Academic/Non-Profit domain (rajsmsa.nic.in),domain_tld,No App,49844,49.8K,<50K,,India
ivri.nic.in,Schools & Universities,Research Institute,Government/Academic/Non-Profit domain (ivri.nic.in),domain_tld,No App,49838,49.8K,<50K,,India
pmksy.gov.in,Agriculture,Irrigation & Water Management,Government/Academic/Non-Profit domain (pmksy.gov.in),domain_tld,No App,49828,49.8K,<50K,,India
rvu.edu.in,Schools & Universities,University,Government/Academic/Non-Profit domain (rvu.edu.in),domain_tld,No App,49815,49.8K,<50K,,India
saveetha.ac.in,Construction & Building Materials,Cement & Concrete,Government/Academic/Non-Profit domain (saveetha.ac.in),domain_tld,No App,49783,49.8K,<50K,,India
salescode.ai,Wholesale & Distribution,General,Non-D2C category: Wholesale & Distribution,non_d2c_category,No App,49657,49.7K,<50K,,Global
pharma-dept.gov.in,Government & Public Sector,Central Government,Government/Academic/Non-Profit domain (pharma-dept.gov.in),domain_tld,No App,49643,49.6K,<50K,,India
iimtrichy.ac.in,Schools & Universities,Professional Institute,Government/Academic/Non-Profit domain (iimtrichy.ac.in),domain_tld,No App,49613,49.6K,<50K,,India
indiaexamalert.com,Government & Public Sector,Regulatory Body,Non-D2C category: Government & Public Sector,non_d2c_category,No App,49603,49.6K,<50K,47,Global
findnerd.com,SaaS & B2B,Project Management,Non-D2C category: SaaS & B2B,non_d2c_category,No App,49601,49.6K,<50K,,Global
cmpfo.gov.in,Government & Public Sector,Regulatory Body,Government/Academic/Non-Profit domain (cmpfo.gov.in),domain_tld,No App,49587,49.6K,<50K,,India
basu.org.in,EdTech,General,Government/Academic/Non-Profit domain (basu.org.in),domain_tld,No App,49553,49.6K,<50K,,India
trackier.com,SaaS & B2B,Marketing Automation,Non-D2C category: SaaS & B2B,non_d2c_category,No App,49480,49.5K,<50K,,Global
nirt.res.in,Government & Public Sector,Municipal & Local,Non-D2C category: Government & Public Sector,non_d2c_category,No App,49476,49.5K,<50K,,India
vasanthamrecharge.com,Wholesale & Distribution,General,Non-D2C category: Wholesale & Distribution,non_d2c_category,No App,49458,49.5K,<50K,,India
squadstack.ai,AI & Data Science,NLP & Conversational AI,Non-D2C category: AI & Data Science,non_d2c_category,No App,49448,49.4K,<50K,,India
ngobox.org,NGO & Non-Profit,Foundation,Non-D2C category: NGO & Non-Profit,non_d2c_category,No App,49441,49.4K,<50K,,Global
uffizio.com,IoT & Connected Devices,General,Non-D2C category: IoT & Connected Devices,non_d2c_category,No App,49420,49.4K,<50K,,Global
karya.in,AI & Data Science,General,Non-D2C category: AI & Data Science,non_d2c_category,No App,49391,49.4K,<50K,,India
kidzee.com,Schools & Universities,Pre-School,Non-D2C category: Schools & Universities,non_d2c_category,No App,49377,49.4K,<50K,,India
valuates.com,Professional Services,Research,Non-D2C category: Professional Services,non_d2c_category,No App,49330,49.3K,<50K,,India
nocodeapi.com,Construction & Building Materials,Infrastructure,Non-D2C category: Construction & Building Materials,non_d2c_category,No App,49234,49.2K,<50K,,Global
dgrindia.gov.in,Government & Public Sector,General,Government/Academic/Non-Profit domain (dgrindia.gov.in),domain_tld,No App,49206,49.2K,<50K,,India
cup.edu.in,Schools & Universities,University,Government/Academic/Non-Profit domain (cup.edu.in),domain_tld,No App,49203,49.2K,<50K,,India
dpsbangalore.edu.in,EdTech,General,Government/Academic/Non-Profit domain (dpsbangalore.edu.in),domain_tld,No App,49127,49.1K,<50K,,India
solvifytech.in,Professional Services,Design & Architecture,Non-D2C category: Professional Services,non_d2c_category,No App,49114,49.1K,<50K,,India
tuffmanindia.com,Aerospace & Defense,General,Non-D2C category: Aerospace & Defense,non_d2c_category,No App,49112,49.1K,<50K,,Global
credflow.in,Construction & Building Materials,Infrastructure,Non-D2C category: Construction & Building Materials,non_d2c_category,No App,49106,49.1K,<50K,,India
agmarknet.gov.in,Agriculture,Agri-Commerce,Government/Academic/Non-Profit domain (agmarknet.gov.in),domain_tld,No App,49103,49.1K,<50K,,India
paschimmedinipur.gov.in,Government & Public Sector,Municipal & Local,Government/Academic/Non-Profit domain (paschimmedinipur.gov.in),domain_tld,No App,49061,49.1K,<50K,,India
sketchup4architect.com,Professional Services,General,Non-D2C category: Professional Services,non_d2c_category,No App,49050,49K,<50K,,India
plusdistributions.in,Wholesale & Distribution,Pharmaceutical Distribution,Non-D2C category: Wholesale & Distribution,non_d2c_category,No App,49004,49K,<50K,,India
indiantypefoundry.com,Semiconductor & Chips,General,Non-D2C category: Semiconductor & Chips,non_d2c_category,No App,48954,49K,<50K,,India
talentelgia.com,Professional Services,IT Services,Non-D2C category: Professional Services,non_d2c_category,No App,48934,48.9K,<50K,,US
thinkstartup.in,Schools & Universities,K-12 School,Non-D2C category: Schools & Universities,non_d2c_category,No App,48919,48.9K,<50K,,India
kjei.edu.in,Schools & Universities,Professional Institute,Government/Academic/Non-Profit domain (kjei.edu.in),domain_tld,No App,48914,48.9K,<50K,,India
ukpsc.net.in,Government & Public Sector,General,Non-D2C category: Government & Public Sector,non_d2c_category,No App,48893,48.9K,<50K,,India
malda.gov.in,Government & Public Sector,Municipal & Local,Government/Academic/Non-Profit domain (malda.gov.in),domain_tld,No App,48870,48.9K,<50K,,India
iitsystem.ac.in,Schools & Universities,Professional Institute,Government/Academic/Non-Profit domain (iitsystem.ac.in),domain_tld,No App,48849,48.8K,<50K,,India
champawat.nic.in,Government & Public Sector,Municipal & Local,Government/Academic/Non-Profit domain (champawat.nic.in),domain_tld,No App,48836,48.8K,<50K,,India
psou.ac.in,EdTech,Online Courses,Government/Academic/Non-Profit domain (psou.ac.in),domain_tld,No App,48834,48.8K,<50K,,India
apar.com,Wire; Cable & Electrical,Transformers,Non-D2C category: Wire; Cable & Electrical,non_d2c_category,No App,48776,48.8K,<50K,,India
bageshwardham.co.in,NGO & Non-Profit,Charity,Non-D2C category: NGO & Non-Profit,non_d2c_category,No App,48731,48.7K,<50K,,India
chitkaraschool.in,Schools & Universities,General,Non-D2C category: Schools & Universities,non_d2c_category,No App,48720,48.7K,<50K,,India
stmichaelspatna.edu.in,Schools & Universities,K-12 School,Government/Academic/Non-Profit domain (stmichaelspatna.edu.in),domain_tld,No App,48648,48.6K,<50K,,India
vnrvjiet.ac.in,EdTech,General,Government/Academic/Non-Profit domain (vnrvjiet.ac.in),domain_tld,No App,48625,48.6K,<50K,,India
jmc.ac.in,Schools & Universities,University,Government/Academic/Non-Profit domain (jmc.ac.in),domain_tld,No App,48615,48.6K,<50K,,India
mggaugkp.ac.in,Health & Wellness Services,Alternative Medicine (Ayurveda; TCM; Homeopathy),Government/Academic/Non-Profit domain (mggaugkp.ac.in),domain_tld,No App,48597,48.6K,<50K,,India
gaugehow.com,Manufacturing,Machinery,Non-D2C category: Manufacturing,non_d2c_category,No App,48449,48.4K,<50K,23,US
slogix.in,AI & Data Science,NLP & Conversational AI,Non-D2C category: AI & Data Science,non_d2c_category,No App,48372,48.4K,<50K,,India
cheenta.com,Schools & Universities,University,Non-D2C category: Schools & Universities,non_d2c_category,No App,48365,48.4K,<50K,,Global
lloyds.in,Manufacturing,Heavy Industry,Non-D2C category: Manufacturing,non_d2c_category,No App,48244,48.2K,<50K,,India
shantibhuana.ac.id,EdTech,General,Government/Academic/Non-Profit domain (shantibhuana.ac.id),domain_tld,No App,48229,48.2K,<50K,,Indonesia
jpv.ac.in,Schools & Universities,University,Government/Academic/Non-Profit domain (jpv.ac.in),domain_tld,No App,48216,48.2K,<50K,,India
easyinsights.ai,AI & Data Science,Predictive Analytics,Non-D2C category: AI & Data Science,non_d2c_category,No App,48201,48.2K,<50K,,India
goodera.com,NGO & Non-Profit,Social Enterprise,Non-D2C category: NGO & Non-Profit,non_d2c_category,No App,48124,48.1K,<50K,,Global
rku.ac.in,Health & Wellness Services,General,Government/Academic/Non-Profit domain (rku.ac.in),domain_tld,No App,48117,48.1K,<50K,,India
scai.in,NGO & Non-Profit,Advocacy,Non-D2C category: NGO & Non-Profit,non_d2c_category,No App,48113,48.1K,<50K,,India
nascorptechnologies.com,SaaS & B2B,ERP (Enterprise Resource Planning),Non-D2C category: SaaS & B2B,non_d2c_category,No App,48084,48.1K,<50K,,India
cmdachennai.gov.in,Government & Public Sector,Regulatory Body,Government/Academic/Non-Profit domain (cmdachennai.gov.in),domain_tld,No App,48053,48.1K,<50K,,India
pclub.in,Schools & Universities,Professional Institute,Non-D2C category: Schools & Universities,non_d2c_category,No App,48047,48K,<50K,,India
santamaria.vic.edu.au,Schools & Universities,University,Government/Academic/Non-Profit domain (santamaria.vic.edu.au),domain_tld,No App,48020,48K,<50K,,Australia
webuzo.com,Web Hosting & Domains,General,Non-D2C category: Web Hosting & Domains,non_d2c_category,No App,48020,48K,<50K,,Global
niftem-t.ac.in,Schools & Universities,University,Government/Academic/Non-Profit domain (niftem-t.ac.in),domain_tld,No App,48001,48K,<50K,,India
ggtu.ac.in,Schools & Universities,University,Government/Academic/Non-Profit domain (ggtu.ac.in),domain_tld,No App,47958,48K,<50K,,India
dualite.dev,AI & Data Science,General,Non-D2C category: AI & Data Science,non_d2c_category,No App,47933,47.9K,<50K,,India
bhavishya.nic.in,Government & Public Sector,Central Government,Government/Academic/Non-Profit domain (bhavishya.nic.in),domain_tld,No App,47893,47.9K,<50K,,India
oneoclock.in,Web Hosting & Domains,CDN & Performance,Non-D2C category: Web Hosting & Domains,non_d2c_category,No App,47886,47.9K,<50K,,India
iimsirmaur.ac.in,Schools & Universities,Professional Institute,Government/Academic/Non-Profit domain (iimsirmaur.ac.in),domain_tld,No App,47879,47.9K,<50K,,India
ndma.gov.pk,Government & Public Sector,Regulatory Body,Government/Academic/Non-Profit domain (ndma.gov.pk),domain_tld,No App,47872,47.9K,<50K,,Global
dmetodisha.gov.in,Health & Wellness Services,Mental Health,Government/Academic/Non-Profit domain (dmetodisha.gov.in),domain_tld,No App,47767,47.8K,<50K,,India
campuscomponent.com,Schools & Universities,General,Non-D2C category: Schools & Universities,non_d2c_category,No App,47763,47.8K,<50K,,Global
tg.nic.in,News & Media,General,Government/Academic/Non-Profit domain (tg.nic.in),domain_tld,No App,47749,47.7K,<50K,,India
kahedu.edu.in,EdTech,General,Government/Academic/Non-Profit domain (kahedu.edu.in),domain_tld,No App,47745,47.7K,<50K,,India
embassyindia.com,International & Diplomatic Organizations,Embassies & Consulates,Non-D2C category: International & Diplomatic Organizations,non_d2c_category,No App,47672,47.7K,<50K,,India
bizapp.in,SaaS & B2B,Customer Support / Help Desk,Non-D2C category: SaaS & B2B,non_d2c_category,No App,47670,47.7K,<50K,,India
careerstn.com,Government & Public Sector,General,Non-D2C category: Government & Public Sector,non_d2c_category,No App,47642,47.6K,<50K,,Global
eastchamparan.nic.in,Government & Public Sector,General,Government/Academic/Non-Profit domain (eastchamparan.nic.in),domain_tld,No App,47636,47.6K,<50K,,India
sanglipolice.gov.in,Electronics & Tech,Computer Hardware,Government/Academic/Non-Profit domain (sanglipolice.gov.in),domain_tld,No App,47615,47.6K,<50K,,India
marknteladvisors.com,Professional Services,Research,Non-D2C category: Professional Services,non_d2c_category,No App,47566,47.6K,<50K,,India
grazitti.com,AI & Data Science,NLP & Conversational AI,Non-D2C category: AI & Data Science,non_d2c_category,No App,47549,47.5K,<50K,,Global
dehradun.nic.in,Government & Public Sector,Municipal & Local,Government/Academic/Non-Profit domain (dehradun.nic.in),domain_tld,No App,47529,47.5K,<50K,,India
sbna.in,Schools & Universities,K-12 School,Non-D2C category: Schools & Universities,non_d2c_category,No App,47490,47.5K,<50K,,India
myraah.io,Web Hosting & Domains,Website Builder,Non-D2C category: Web Hosting & Domains,non_d2c_category,No App,47481,47.5K,<50K,,India
bondsindia.com,Government & Public Sector,Regulatory Body,Non-D2C category: Government & Public Sector,non_d2c_category,No App,47352,47.4K,<50K,,India
yogianoop.com,Construction & Building Materials,Cement & Concrete,Non-D2C category: Construction & Building Materials,non_d2c_category,No App,47350,47.4K,<50K,,US
skillcms.in,Mining & Quarrying,Coal Mining,Non-D2C category: Mining & Quarrying,non_d2c_category,No App,47340,47.3K,<50K,,India
elections.in,Government & Public Sector,Central Government,Non-D2C category: Government & Public Sector,non_d2c_category,No App,47279,47.3K,<50K,,India
jammu.nic.in,Government & Public Sector,Municipal & Local,Government/Academic/Non-Profit domain (jammu.nic.in),domain_tld,No App,47275,47.3K,<50K,,India
neriwalm.gov.in,Government & Public Sector,Central Government,Government/Academic/Non-Profit domain (neriwalm.gov.in),domain_tld,No App,47258,47.3K,<50K,,India
vinayakequipments.com,Construction & Building Materials,Cement & Concrete,Non-D2C category: Construction & Building Materials,non_d2c_category,No App,47125,47.1K,<50K,,India
industryresearch.biz,Professional Services,Research,Non-D2C category: Professional Services,non_d2c_category,No App,47116,47.1K,<50K,,Global
mypcpanda.com,Wholesale & Distribution,General,Non-D2C category: Wholesale & Distribution,non_d2c_category,No App,47088,47.1K,<50K,51,India
intramcc.nic.in,Health & Wellness Services,General,Government/Academic/Non-Profit domain (intramcc.nic.in),domain_tld,No App,47011,47K,<50K,10,India
pixel-media.co.in,Professional Services,Marketing & Advertising,Non-D2C category: Professional Services,non_d2c_category,No App,47001,47K,<50K,,India
playretro.shop,Web Hosting & Domains,CDN & Performance,Non-D2C category: Web Hosting & Domains,non_d2c_category,No App,46970,47K,<50K,,India
pushowl.com,SaaS & B2B,Marketing Automation,Non-D2C category: SaaS & B2B,non_d2c_category,No App,46946,46.9K,<50K,,India
harishchandrapurcollege.org.in,Schools & Universities,University,Government/Academic/Non-Profit domain (harishchandrapurcollege.org.in),domain_tld,No App,46906,46.9K,<50K,26,India
sctimst.ac.in,Health & Wellness Services,General,Government/Academic/Non-Profit domain (sctimst.ac.in),domain_tld,No App,46849,46.8K,<50K,,India
dalmiabharat.com,Construction & Building Materials,Cement & Concrete,Non-D2C category: Construction & Building Materials,non_d2c_category,No App,46758,46.8K,<50K,,India
sudaonline.org,Government & Public Sector,Regulatory Body,Non-D2C category: Government & Public Sector,non_d2c_category,No App,46741,46.7K,<50K,,Global
fxis.ai,AI & Data Science,Generative AI,Non-D2C category: AI & Data Science,non_d2c_category,No App,46736,46.7K,<50K,,Global
csm.tech,Government & Public Sector,Public Services,Non-D2C category: Government & Public Sector,non_d2c_category,No App,46721,46.7K,<50K,,India
rhydolabz.com,IoT & Connected Devices,Asset Tracking & Sensors,Non-D2C category: IoT & Connected Devices,non_d2c_category,No App,46674,46.7K,<50K,,Global
a2dpcfactory.com,Manufacturing,General,Non-D2C category: Manufacturing,non_d2c_category,No App,46668,46.7K,<50K,,Global
dharmapuri.nic.in,Religious & Spiritual,Temple & Shrine,Government/Academic/Non-Profit domain (dharmapuri.nic.in),domain_tld,No App,46652,46.7K,<50K,,India
chennaiport.gov.in,Marine & Shipping,Port & Terminal Operations,Government/Academic/Non-Profit domain (chennaiport.gov.in),domain_tld,No App,46632,46.6K,<50K,,India
akira.ai,AI & Data Science,Responsible AI & Ethics Tools,Non-D2C category: AI & Data Science,non_d2c_category,No App,46620,46.6K,<50K,,Global
deoghar.nic.in,Government & Public Sector,Municipal & Local,Government/Academic/Non-Profit domain (deoghar.nic.in),domain_tld,No App,46583,46.6K,<50K,,India
abhinav.com,Government & Public Sector,Customs & Immigration,Non-D2C category: Government & Public Sector,non_d2c_category,No App,46578,46.6K,<50K,,US
morth.gov.in,Government & Public Sector,Central Government,Government/Academic/Non-Profit domain (morth.gov.in),domain_tld,No App,46506,46.5K,<50K,,India
gforex.in,Government & Public Sector,State Government,Non-D2C category: Government & Public Sector,non_d2c_category,No App,46497,46.5K,<50K,,India
volunteeringsolutions.com,NGO & Non-Profit,General,Non-D2C category: NGO & Non-Profit,non_d2c_category,No App,46447,46.4K,<50K,,Global
statetimes.in,Government & Public Sector,General,Non-D2C category: Government & Public Sector,non_d2c_category,No App,46436,46.4K,<50K,,India
siib.ac.in,Schools & Universities,University,Government/Academic/Non-Profit domain (siib.ac.in),domain_tld,No App,46414,46.4K,<50K,,India
installonair.com,Wholesale & Distribution,General,Non-D2C category: Wholesale & Distribution,non_d2c_category,No App,46399,46.4K,<50K,,US
brotomotiv.in,Glass; Ceramics & Nonmetallic Minerals,General,Non-D2C category: Glass; Ceramics & Nonmetallic Minerals,non_d2c_category,No App,46386,46.4K,<50K,,India
1stop.ai,AI & Data Science,General,Non-D2C category: AI & Data Science,non_d2c_category,No App,46311,46.3K,<50K,,India
mavlers.com,Professional Services,Marketing & Advertising,Non-D2C category: Professional Services,non_d2c_category,No App,46311,46.3K,<50K,,US
playtolabs.com,Robotics & Automation,Industrial Robotics,Non-D2C category: Robotics & Automation,non_d2c_category,No App,46294,46.3K,<50K,,Global
pesb.gov.in,Government & Public Sector,Central Government,Government/Academic/Non-Profit domain (pesb.gov.in),domain_tld,No App,46277,46.3K,<50K,,India
indianemployees.com,Government & Public Sector,Judiciary & Courts,Non-D2C category: Government & Public Sector,non_d2c_category,No App,46274,46.3K,<50K,,US
newhorizonindia.edu,EdTech,K-12 & Test Prep,Government/Academic/Non-Profit domain (newhorizonindia.edu),domain_tld,No App,46208,46.2K,<50K,,India
indianchemicalnews.com,Chemicals & Petrochemicals,Petrochemicals,Non-D2C category: Chemicals & Petrochemicals,non_d2c_category,No App,46208,46.2K,<50K,,Global
aceipm.com,Schools & Universities,Professional Institute,Non-D2C category: Schools & Universities,non_d2c_category,No App,46201,46.2K,<50K,,India
finolex.com,Wire; Cable & Electrical,Switchgear & Panels,Non-D2C category: Wire; Cable & Electrical,non_d2c_category,No App,46178,46.2K,<50K,,US
ilovephd.com,AI & Data Science,General,Non-D2C category: AI & Data Science,non_d2c_category,No App,46178,46.2K,<50K,,Global
bhumi.ngo,NGO & Non-Profit,General,Non-D2C category: NGO & Non-Profit,non_d2c_category,No App,46118,46.1K,<50K,,Global
casaretail.in,SaaS & B2B,Marketing Automation,Non-D2C category: SaaS & B2B,non_d2c_category,No App,46110,46.1K,<50K,,India
hioxindia.com,Web Hosting & Domains,Shared Hosting,Non-D2C category: Web Hosting & Domains,non_d2c_category,No App,46102,46.1K,<50K,,India
measervices.in,International & Diplomatic Organizations,Embassies & Consulates,Non-D2C category: International & Diplomatic Organizations,non_d2c_category,No App,46086,46.1K,<50K,,India
talentbattle.in,Construction & Building Materials,Cement & Concrete,Non-D2C category: Construction & Building Materials,non_d2c_category,No App,46063,46.1K,<50K,,India
xseo.in,Web Hosting & Domains,Domain Services,Non-D2C category: Web Hosting & Domains,non_d2c_category,No App,46052,46.1K,<50K,,India
yourportico.com,Professional Services,IT Services,Non-D2C category: Professional Services,non_d2c_category,No App,46049,46K,<50K,,Global
connectandheal.com,Marine & Shipping,General,Non-D2C category: Marine & Shipping,non_d2c_category,No App,46013,46K,<50K,,India
npcil.nic.in,Nuclear & Atomic Energy,General,Government/Academic/Non-Profit domain (npcil.nic.in),domain_tld,No App,46001,46K,<50K,,India
wizcommerce.com,Wholesale & Distribution,General,Non-D2C category: Wholesale & Distribution,non_d2c_category,No App,45973,46K,<50K,,Global
happyhomesonline.com,Web Hosting & Domains,CDN & Performance,Non-D2C category: Web Hosting & Domains,non_d2c_category,No App,45968,46K,<50K,,India
jamiahamdard.ac.in,Schools & Universities,University,Government/Academic/Non-Profit domain (jamiahamdard.ac.in),domain_tld,No App,45966,46K,<50K,,India
stxaviershighschoolgurgaon.com,Schools & Universities,K-12 School,Non-D2C category: Schools & Universities,non_d2c_category,No App,45954,46K,<50K,,India
schooleducationharyana.gov.in,Government & Public Sector,Regulatory Body,Government/Academic/Non-Profit domain (schooleducationharyana.gov.in),domain_tld,No App,45950,46K,<50K,,India
vikramuniv.ac.in,Schools & Universities,University,Government/Academic/Non-Profit domain (vikramuniv.ac.in),domain_tld,No App,45938,45.9K,<50K,,India
inogic.com,SaaS & B2B,General,Non-D2C category: SaaS & B2B,non_d2c_category,No App,45934,45.9K,<50K,,Global
aanm-vvrsrpolytechnic.ac.in,AI & Data Science,General,Government/Academic/Non-Profit domain (aanm-vvrsrpolytechnic.ac.in),domain_tld,No App,45910,45.9K,<50K,,India
cuddalore.nic.in,Government & Public Sector,Municipal & Local,Government/Academic/Non-Profit domain (cuddalore.nic.in),domain_tld,No App,45885,45.9K,<50K,,India
scholarlify.com,Government & Public Sector,General,Non-D2C category: Government & Public Sector,non_d2c_category,No App,45859,45.9K,<50K,,India
nscbmc.ac.in,Health & Wellness Services,General,Government/Academic/Non-Profit domain (nscbmc.ac.in),domain_tld,No App,45820,45.8K,<50K,,India
indiabioscience.org,Chemicals & Petrochemicals,General,Non-D2C category: Chemicals & Petrochemicals,non_d2c_category,No App,45806,45.8K,<50K,,Global
plrs.org.in,Government & Public Sector,State Government,Government/Academic/Non-Profit domain (plrs.org.in),domain_tld,No App,45803,45.8K,<50K,,India
underratedcoder.com,Construction & Building Materials,Cement & Concrete,Non-D2C category: Construction & Building Materials,non_d2c_category,No App,45768,45.8K,<50K,,India
indianembassydublin.gov.in,International & Diplomatic Organizations,Embassies & Consulates,Government/Academic/Non-Profit domain (indianembassydublin.gov.in),domain_tld,No App,45749,45.7K,<50K,,India
in28minutes.com,Cloud & DevTools,General,Non-D2C category: Cloud & DevTools,non_d2c_category,No App,45713,45.7K,<50K,,Global
dataful.in,Government & Public Sector,General,Non-D2C category: Government & Public Sector,non_d2c_category,No App,45686,45.7K,<50K,,India
lluvia.in,Manufacturing,General,Non-D2C category: Manufacturing,non_d2c_category,No App,45641,45.6K,<50K,,India
rebouncecareers.com,NGO & Non-Profit,Social Enterprise,Non-D2C category: NGO & Non-Profit,non_d2c_category,No App,45638,45.6K,<50K,,Global
skillastro.in,Construction & Building Materials,Cement & Concrete,Non-D2C category: Construction & Building Materials,non_d2c_category,No App,45506,45.5K,<50K,,India
esds.co.in,Data Center & Infrastructure,General,Non-D2C category: Data Center & Infrastructure,non_d2c_category,No App,45387,45.4K,<50K,,India
freetzi.com,Web Hosting & Domains,Shared Hosting,Non-D2C category: Web Hosting & Domains,non_d2c_category,No App,45352,45.4K,<50K,,Global
iica.nic.in,Government & Public Sector,Regulatory Body,Government/Academic/Non-Profit domain (iica.nic.in),domain_tld,No App,45352,45.4K,<50K,,India
snsct.org,Construction & Building Materials,Cement & Concrete,Non-D2C category: Construction & Building Materials,non_d2c_category,No App,45329,45.3K,<50K,,India
wecduk.in,NGO & Non-Profit,General,Non-D2C category: NGO & Non-Profit,non_d2c_category,No App,45324,45.3K,<50K,,India
apps2fusion.com,Nuclear & Atomic Energy,General,Non-D2C category: Nuclear & Atomic Energy,non_d2c_category,No App,45289,45.3K,<50K,,Global
brro.org,NGO & Non-Profit,Charity,Non-D2C category: NGO & Non-Profit,non_d2c_category,No App,45250,45.3K,<50K,,India
marinegyaan.com,Marine & Shipping,General,Non-D2C category: Marine & Shipping,non_d2c_category,No App,45238,45.2K,<50K,,UK
skillcept.online,AI & Data Science,General,Non-D2C category: AI & Data Science,non_d2c_category,No App,45225,45.2K,<50K,,India
jklakshmicement.com,Construction & Building Materials,Cement & Concrete,Non-D2C category: Construction & Building Materials,non_d2c_category,No App,45222,45.2K,<50K,,Global
voxta.ai,AI & Data Science,Computer Vision,Non-D2C category: AI & Data Science,non_d2c_category,No App,45187,45.2K,<50K,,Global
deshbandhucollege.ac.in,Schools & Universities,University,Government/Academic/Non-Profit domain (deshbandhucollege.ac.in),domain_tld,No App,45158,45.2K,<50K,,India
cci.gov.in,Government & Public Sector,Regulatory Body,Government/Academic/Non-Profit domain (cci.gov.in),domain_tld,No App,45115,45.1K,<50K,,India
projectpoint.in,Manufacturing,Heavy Industry,Non-D2C category: Manufacturing,non_d2c_category,No App,45091,45.1K,<50K,,India
quickfresherjobs.in,Schools & Universities,General,Non-D2C category: Schools & Universities,non_d2c_category,No App,45044,45K,<50K,48,India
dcms.ac.in,Health & Wellness Services,General,Government/Academic/Non-Profit domain (dcms.ac.in),domain_tld,No App,45043,45K,<50K,,India
eirc-icai.org,Professional Services,Accounting & Tax,Non-D2C category: Professional Services,non_d2c_category,No App,45017,45K,<50K,,India
sdichallenge.in,Schools & Universities,University,Non-D2C category: Schools & Universities,non_d2c_category,No App,45007,45K,<50K,,India
aiforkids.in,AI & Data Science,NLP & Conversational AI,Non-D2C category: AI & Data Science,non_d2c_category,No App,44997,45K,<50K,,India
womengovtcollegevisakha.ac.in,Government & Public Sector,Customs & Immigration,Government/Academic/Non-Profit domain (womengovtcollegevisakha.ac.in),domain_tld,No App,44994,45K,<50K,,India
coochbehar.gov.in,EdTech,Skill Development,Government/Academic/Non-Profit domain (coochbehar.gov.in),domain_tld,No App,44967,45K,<50K,,India
igtsolutions.com,AI & Data Science,Generative AI,Non-D2C category: AI & Data Science,non_d2c_category,No App,44960,45K,<50K,,India
chitkarauniversity.edu.in,Schools & Universities,University,Government/Academic/Non-Profit domain (chitkarauniversity.edu.in),domain_tld,No App,44942,44.9K,<50K,,India
livefistdefence.com,Aerospace & Defense,General,Non-D2C category: Aerospace & Defense,non_d2c_category,No App,44876,44.9K,<50K,,US
wpremote.com,SaaS & B2B,Website Management Tools,Non-D2C category: SaaS & B2B,non_d2c_category,No App,44824,44.8K,<50K,40,Global
ietlucknow.ac.in,Construction & Building Materials,General,Government/Academic/Non-Profit domain (ietlucknow.ac.in),domain_tld,No App,44776,44.8K,<50K,,India
exhibitionsociety.com,Manufacturing,Heavy Industry,Non-D2C category: Manufacturing,non_d2c_category,No App,44763,44.8K,<50K,,Global
pragatichse.in,Schools & Universities,K-12 School,Non-D2C category: Schools & Universities,non_d2c_category,No App,44754,44.8K,<50K,,India
sndt.ac.in,Schools & Universities,University,Government/Academic/Non-Profit domain (sndt.ac.in),domain_tld,No App,44743,44.7K,<50K,,India
haptik.ai,AI & Data Science,NLP & Conversational AI,Non-D2C category: AI & Data Science,non_d2c_category,No App,44710,44.7K,<50K,,Global
ipc.gov.in,Government & Public Sector,Regulatory Body,Government/Academic/Non-Profit domain (ipc.gov.in),domain_tld,No App,44684,44.7K,<50K,,India
tataadvancedsystems.com,Aerospace & Defense,Defense Electronics,Non-D2C category: Aerospace & Defense,non_d2c_category,No App,44663,44.7K,<50K,,Global
hisar.gov.in,Government & Public Sector,Municipal & Local,Government/Academic/Non-Profit domain (hisar.gov.in),domain_tld,No App,44625,44.6K,<50K,,India
