domain,oldCategory,oldSubCategory,reason,reasonCode,appPresence,monthlyVisits,monthlyVisitsFormatted,trafficBand,techCount,region
upsc.gov.in,Government & Public Sector,Central Government,Government/Academic/Non-Profit domain (upsc.gov.in),domain_tld,No App,9562846,9.6M,5M-20M,,India
csc.gov.in,Government & Public Sector,Public Services,Government/Academic/Non-Profit domain (csc.gov.in),domain_tld,No App,9516046,9.5M,5M-20M,22,India
tradeindia.com,Ecommerce/Retail,Marketplace,Known Non-D2C platform/tool (tradeindia.com),known_non_d2c,No App,9476352,9.5M,5M-20M,35,Global
ncl.com,Marine & Shipping,Cruise Lines,Non-D2C category: Marine & Shipping,non_d2c_category,No App,9424424,9.4M,5M-20M,70,Global
jharkhand.gov.in,Government & Public Sector,General,Government/Academic/Non-Profit domain (jharkhand.gov.in),domain_tld,No App,8447086,8.4M,5M-20M,28,India
mponline.gov.in,Government & Public Sector,Public Services,Government/Academic/Non-Profit domain (mponline.gov.in),domain_tld,No App,7441167,7.4M,5M-20M,,India
ctet.nic.in,EdTech,Online Courses,Government/Academic/Non-Profit domain (ctet.nic.in),domain_tld,No App,7422616,7.4M,5M-20M,,India
indiandefencereview.com,Aerospace & Defense,Missiles & Weapons Systems,Non-D2C category: Aerospace & Defense,non_d2c_category,No App,6963503,7M,5M-20M,,Global
assam.gov.in,Government & Public Sector,State Government,Government/Academic/Non-Profit domain (assam.gov.in),domain_tld,No App,6780814,6.8M,5M-20M,,India
keka.com,SaaS & B2B,HR & Payroll,Non-D2C category: SaaS & B2B,non_d2c_category,No App,6692293,6.7M,5M-20M,54,Global
cgg.gov.in,Government & Public Sector,State Government,Government/Academic/Non-Profit domain (cgg.gov.in),domain_tld,No App,6474555,6.5M,5M-20M,19,India
idrw.org,Aerospace & Defense,Aircraft Manufacturing,Non-D2C category: Aerospace & Defense,non_d2c_category,No App,6321323,6.3M,5M-20M,,US
nios.ac.in,Government & Public Sector,Central Government,Government/Academic/Non-Profit domain (nios.ac.in),domain_tld,No App,5694841,5.7M,5M-20M,12,India
indiaai.gov.in,Electronics & Tech,General,Government/Academic/Non-Profit domain (indiaai.gov.in),domain_tld,,5293993,5.3M,5M-20M,32,India
celebritycruises.com,Marine & Shipping,Cruise Lines,Non-D2C category: Marine & Shipping,non_d2c_category,No App,4982871,5M,1M-5M,67,Global
vit.ac.in,Construction & Building Materials,Cement & Concrete,Government/Academic/Non-Profit domain (vit.ac.in),domain_tld,No App,4570431,4.6M,1M-5M,46,India
